time;high;low;open;volumefrom;volumeto;close;conversion_type;conversion_symbol;coin;daily_return_pct;intraday_return;daily_log_return;stablecoin
2020-08-22;0.1262;0.1183;0.1229;84207229.64;10373929.94;0.1253;direct;;ADA;0.0195280716029291;0.0195280716029291;0.0193398453300335;0
2020-08-23;0.1259;0.1195;0.1253;64772529.12;7945897.18;0.1215;direct;;ADA;-0.0303272146847565;-0.0303272146847565;-0.0307965991214196;0
2020-08-24;0.127;0.1201;0.1215;77809944.45;9662533.63;0.1237;direct;;ADA;0.0181069958847737;0.0181069958847737;0.0179450166178392;0
2020-08-25;0.1238;0.1063;0.1237;65939158.71;7699604.99;0.1126;direct;;ADA;-0.089733225545675;-0.089733225545675;-0.0940175636928524;0
2020-08-26;0.1183;0.1107;0.1126;21686624.36;2483949.36;0.1144;direct;;ADA;0.0159857904085257;0.0159857904085257;0.0158593632401076;0
2020-08-27;0.1157;0.1031;0.1144;42047628.18;4543389.04;0.1073;direct;;ADA;-0.062062937062937;-0.062062937062937;-0.0640724293090447;0
2020-08-28;0.1115;0.1062;0.1073;22381018.15;2446282.5;0.1096;direct;;ADA;0.02143522833178;0.02143522833178;0.0212087248772623;0
2020-08-29;0.1181;0.1085;0.1096;19035365.18;2152707.54;0.1166;direct;;ADA;0.0638686131386861;0.0638686131386861;0.0619118994024768;0
2020-08-30;0.1189;0.1142;0.1166;15233999.98;1778262.45;0.1176;direct;;ADA;0.0085763293310463;0.0085763293310463;0.0085397615481346;0
2020-08-31;0.1268;0.1135;0.1176;30725729.98;3719129.86;0.1226;direct;;ADA;0.0425170068027212;0.0425170068027212;0.0416379880375843;0
2020-09-01;0.1282;0.1196;0.1226;25472267.37;3161304.55;0.1247;direct;;ADA;0.0171288743882545;0.0171288743882545;0.01698382918388;0
2020-09-02;0.1266;0.1112;0.1247;31678493.54;3695898.13;0.1153;direct;;ADA;-0.0753809141940658;-0.0753809141940658;-0.0783734254109776;0
2020-09-03;0.1168;0.09493;0.1153;39020857.14;4109787.91;0.09523;direct;;ADA;-0.174067649609714;-0.174067649609714;-0.191242409069059;0
2020-09-04;0.104;0.09295;0.09523;28411037.05;2820975.27;0.102;direct;;ADA;0.0710910427386329;0.0710910427386329;0.0686777950783162;0
2020-09-05;0.1038;0.08638;0.102;38945014.35;3634392.92;0.08985;direct;;ADA;-0.119117647058823;-0.119117647058823;-0.126831200054703;0
2020-09-06;0.09555;0.08566;0.08985;22067569.72;2030802.02;0.09271;direct;;ADA;0.0318308291597107;0.0318308291597107;0.0313347283893228;0
2020-09-07;0.09418;0.08641;0.09271;29832368.29;2694766.3;0.09351;direct;;ADA;0.0086290583540069;0.0086290583540069;0.0085920408284643;0
2020-09-08;0.09681;0.08854;0.09351;17921868.2;1643330.15;0.09104;direct;;ADA;-0.0264142872420062;-0.0264142872420062;-0.0267694120693345;0
2020-09-09;0.09611;0.08937;0.09104;14871771.33;1393806.22;0.09338;direct;;ADA;0.0257029876977153;0.0257029876977153;0.0253782191647702;0
2020-09-10;0.09949;0.09338;0.09338;34233270.59;3355701.4;0.09714;direct;;ADA;0.0402655814949668;0.0402655814949668;0.0394760473748077;0
2020-09-11;0.0975;0.09333;0.09714;10686012.02;1022133.04;0.097;direct;;ADA;-0.0014412188593782;-0.0014412188593782;-0.0014422584142157;0
2020-09-12;0.09847;0.09471;0.097;14426083.83;1394048.45;0.09779;direct;;ADA;0.0081443298969072;0.0081443298969072;0.0081113438208007;0
2020-09-13;0.09973;0.09284;0.09779;12757205.34;1223577.3;0.09503;direct;;ADA;-0.0282237447591778;-0.0282237447591778;-0.02862969110096;0
2020-09-14;0.09766;0.09311;0.09503;14031871.66;1347634.01;0.09677;direct;;ADA;0.0183100073660949;0.0183100073660949;0.0181443976696274;0
2020-09-15;0.09774;0.09309;0.09677;10549344.97;1007778.53;0.09334;direct;;ADA;-0.0354448692776685;-0.0354448692776685;-0.0360882883711815;0
2020-09-16;0.09347;0.0899;0.09334;19004473.36;1732349.11;0.09145;direct;;ADA;-0.0202485536747375;-0.0202485536747375;-0.0204563656847947;0
2020-09-17;0.09455;0.09104;0.09145;14239277.3;1322276.01;0.09418;direct;;ADA;0.0298523783488245;0.0298523783488245;0.0294154699785336;0
2020-09-18;0.09418;0.08992;0.09418;15829270.53;1455764.58;0.09105;direct;;ADA;-0.0332342323210872;-0.0332342323210872;-0.0337990386417917;0
2020-09-19;0.09295;0.0906;0.09105;8773348.45;806753.28;0.09145;direct;;ADA;0.0043931905546403;0.0043931905546403;0.004383568663258;0
