coinfrom,cointo,corr
ADA,ADA,1.0
ALGO,ADA,0.5537422990071187
ATOM,ADA,0.5447783712743179
BCH,ADA,0.4876909883145132
BNB,ADA,0.40201330210885455
BSV,ADA,0.40785943482596704
BTC,ADA,0.47534310647673206
CRO,ADA,0.4141005738062541
DASH,ADA,0.4193715933078514
DOT,ADA,0.44967706980253686
EOS,ADA,0.5385060899816773
ETC,ADA,0.30096621993839495
ETH,ADA,0.6200044768656121
FTT,ADA,0.5624761880211533
HEDG,ADA,0.20096763679871424
HT,ADA,0.2863097891476427
LINK,ADA,0.6022202176908987
LTC,ADA,0.5007810158838745
MIOTA,ADA,0.5918960033434945
MKR,ADA,0.486806922979948
NEO,ADA,0.4702731497445114
OMG,ADA,0.5279710466260212
ONT,ADA,0.546931524380229
SNX,ADA,0.48150130071738717
THETA,ADA,0.29922211421836475
TRX,ADA,0.3755721719959565
UMA,ADA,0.35099299836260284
VET,ADA,0.5223439165380324
WBTC,ADA,0.4431236518679209
XEM,ADA,0.34685847853073737
XLM,ADA,0.6327685837434008
XMR,ADA,0.3960951631025265
XRP,ADA,0.3271839613244473
XTZ,ADA,0.6004911430442117
YFI,ADA,0.3619856886302245
ZEC,ADA,0.5112590816819466
ADA,ALGO,0.5537422990071187
ALGO,ALGO,1.0
ATOM,ALGO,0.6546221096722741
BCH,ALGO,0.5353263185416621
BNB,ALGO,0.4268355632225475
BSV,ALGO,0.49024218641111966
BTC,ALGO,0.5230602083894264
CRO,ALGO,0.3666947787787883
DASH,ALGO,0.4645847842968462
DOT,ALGO,0.49052879183732745
EOS,ALGO,0.5929500386643268
ETC,ALGO,0.37012673507853855
ETH,ALGO,0.631835735309192
FTT,ALGO,0.5540496192171311
HEDG,ALGO,0.2413937124261017
HT,ALGO,0.3689037856964858
LINK,ALGO,0.7112251040453738
LTC,ALGO,0.5675855146121713
MIOTA,ALGO,0.6454235896111714
MKR,ALGO,0.480706225707469
NEO,ALGO,0.5223547774308501
OKB,ALGO,0.2998734001096359
OMG,ALGO,0.670321988949129
ONT,ALGO,0.6849439667581282
SNX,ALGO,0.615640837272011
THETA,ALGO,0.4462487996617259
TRX,ALGO,0.43051431436080134
UMA,ALGO,0.4319907936537051
VET,ALGO,0.653471776687524
WBTC,ALGO,0.4919834262424486
XEM,ALGO,0.32174332802924815
XLM,ALGO,0.5668558395751612
XMR,ALGO,0.4655402414672637
XRP,ALGO,0.41899150419852105
XTZ,ALGO,0.7722274797725228
YFI,ALGO,0.44028331606461835
ZEC,ALGO,0.585902035912446
ADA,ATOM,0.5447783712743179
ALGO,ATOM,0.6546221096722741
ATOM,ATOM,1.0
BCH,ATOM,0.46356567705118507
BNB,ATOM,0.3702498193239773
BSV,ATOM,0.4261846187542537
BTC,ATOM,0.40429399732857835
CRO,ATOM,0.32951482067577753
DASH,ATOM,0.45768736725347464
DOT,ATOM,0.49411094861111754
EOS,ATOM,0.5211378626920837
ETC,ATOM,0.2519707068259818
ETH,ATOM,0.5340814699676155
FTT,ATOM,0.4950845113963774
HEDG,ATOM,0.2139968938131592
HT,ATOM,0.3087072261581232
LINK,ATOM,0.602375547148031
LTC,ATOM,0.4437020172481459
MIOTA,ATOM,0.549080189886995
MKR,ATOM,0.4234965764003149
NEO,ATOM,0.4286492639798525
OKB,ATOM,0.20535721313079192
OMG,ATOM,0.5843950806675922
ONT,ATOM,0.5535636108703081
SNX,ATOM,0.49196880761471395
THETA,ATOM,0.34158118062562737
TRX,ATOM,0.30662597238611145
UMA,ATOM,0.3441102361644326
VET,ATOM,0.5672859239000525
WBTC,ATOM,0.37336070777678665
XEM,ATOM,0.29766183047855105
XLM,ATOM,0.4638761121681338
XMR,ATOM,0.41608072568488574
XRP,ATOM,0.29469979074972985
XTZ,ATOM,0.6653126893016161
YFI,ATOM,0.34929691504570076
ZEC,ATOM,0.5888538337197035
ADA,BCH,0.4876909883145132
ALGO,BCH,0.5353263185416621
ATOM,BCH,0.46356567705118507
BCH,BCH,1.0
BNB,BCH,0.4028734047062976
BSV,BCH,0.8584353906165704
BTC,BCH,0.6123060876989074
CRO,BCH,0.4104016640888938
