time,coin,stablecoin,value
2020-08-22,ADA,0,0.0193398453300335
2020-08-23,ADA,0,-0.0307965991214196
2020-08-24,ADA,0,0.0179450166178392
2020-08-25,ADA,0,-0.0940175636928524
2020-08-26,ADA,0,0.0158593632401076
2020-08-27,ADA,0,-0.0640724293090447
2020-08-28,ADA,0,0.0212087248772623
2020-08-29,ADA,0,0.0619118994024768
2020-08-30,ADA,0,0.0085397615481346
2020-08-31,ADA,0,0.0416379880375843
2020-09-01,ADA,0,0.01698382918388
2020-09-02,ADA,0,-0.0783734254109776
2020-09-03,ADA,0,-0.191242409069059
2020-09-04,ADA,0,0.0686777950783162
2020-09-05,ADA,0,-0.126831200054703
2020-09-06,ADA,0,0.0313347283893228
2020-09-07,ADA,0,0.0085920408284643
2020-09-08,ADA,0,-0.0267694120693345
2020-09-09,ADA,0,0.0253782191647702
2020-09-10,ADA,0,0.0394760473748077
2020-09-11,ADA,0,-0.0014422584142157
2020-09-12,ADA,0,0.0081113438208007
2020-09-13,ADA,0,-0.02862969110096
2020-09-14,ADA,0,0.0181443976696274
2020-09-15,ADA,0,-0.0360882883711815
2020-09-16,ADA,0,-0.0204563656847947
2020-09-17,ADA,0,0.0294154699785336
2020-09-18,ADA,0,-0.0337990386417917
2020-09-19,ADA,0,0.004383568663258
2020-09-20,ADA,0,-0.0227835557371137
2020-09-21,ADA,0,-0.112483310552147
2020-09-22,ADA,0,0.0213037534224467
2020-09-23,ADA,0,-0.0625796566522383
2020-09-24,ADA,0,0.0760909083859924
2020-09-25,ADA,0,0.159576629113255
2020-09-26,ADA,0,-0.0154768085351535
2020-09-27,ADA,0,0.0586460769727206
2020-09-28,ADA,0,-0.007928683755507
2020-09-29,ADA,0,0.0069410293542344
2020-09-30,ADA,0,-0.0009886308269395
2020-10-01,ADA,0,-0.0311426473558534
2020-10-02,ADA,0,-0.0537668128826554
2020-10-03,ADA,0,0.0047266174580138
2020-10-04,ADA,0,0.0379586127023943
2020-10-05,ADA,0,0.0063766543335819
2020-10-06,ADA,0,-0.0484160287126589
2020-10-07,ADA,0,0.008144938393849
2020-10-08,ADA,0,0.0273730112890957
2020-10-09,ADA,0,0.0526943272296494
2020-10-10,ADA,0,0.0358045018217674
2020-10-11,ADA,0,0.0132202114281346
2020-10-12,ADA,0,0.0268410375248114
2020-10-13,ADA,0,-0.0009136592686744
2020-10-14,ADA,0,-0.019382240351228
2020-10-15,ADA,0,-0.005607491328945
2020-10-16,ADA,0,-0.0227497963009808
2020-10-17,ADA,0,0.0171106836132107
2020-10-18,ADA,0,0.0131088019477796
2020-10-19,ADA,0,0.0111009465594467
2020-10-20,ADA,0,-0.0597050815217566
2020-10-21,ADA,0,0.0364373962024311
2020-10-22,ADA,0,0.0424026655053447
2020-10-23,ADA,0,-0.0246700496680208
2020-10-24,ADA,0,-0.0009254975209427
2020-10-25,ADA,0,-0.0130477153924757
2020-10-26,ADA,0,-0.0324146586842815
2020-10-27,ADA,0,-0.0029112102074586
2020-10-28,ADA,0,-0.037729114769196
2020-10-29,ADA,0,-0.0385790782941284
2020-10-30,ADA,0,-0.0201299306967626
2020-10-31,ADA,0,-0.0035379291794783
2020-11-01,ADA,0,0.053020938729468
2020-11-02,ADA,0,-0.0587293930267818
2020-11-03,ADA,0,0.0114912932869728
2020-11-04,ADA,0,0.0198759053918196
2020-11-05,ADA,0,0.0226659121076227
2020-11-06,ADA,0,0.111990148792953
2020-11-07,ADA,0,-0.0760099839278552
2020-11-08,ADA,0,0.0528715152714567
2020-11-09,ADA,0,-0.0131952904188326
2020-11-10,ADA,0,0.0047326165000991
2020-11-11,ADA,0,0.0018867930125767
2020-11-12,ADA,0,-0.0123282737329959
2020-11-13,ADA,0,0.0170297398448023
2020-11-14,ADA,0,-0.0208538362832056
2020-11-15,ADA,0,-0.0370774177828994
2020-11-16,ADA,0,0.0322766404395427
2020-11-17,ADA,0,0.0543204691760031
2020-11-18,ADA,0,-0.0277282089734769
2020-11-19,ADA,0,-0.0075259057003469
2020-11-20,ADA,0,0.111573469842544
2020-11-21,ADA,0,0.122277425244223
2020-11-22,ADA,0,0.0872604740142082
2020-11-23,ADA,0,0.0559400158823395
2020-11-24,ADA,0,0.0802419704021025
2020-11-25,ADA,0,-0.0680113705653476
2020-11-26,ADA,0,-0.100891947736949
2020-11-27,ADA,0,0.0035323244075453
2020-11-28,ADA,0,0.152739246988851
2020-11-29,ADA,0,0.0108369513298774
2020-11-30,ADA,0,0.0312433311171287
2020-12-01,ADA,0,-0.101948531789593
2020-12-02,ADA,0,0.0197270157880722
2020-12-03,ADA,0,0.0340695694859645
2020-12-04,ADA,0,-0.104548827301574
2020-12-05,ADA,0,0.0786374455170726
2020-12-06,ADA,0,-0.0075282664207914
2020-12-07,ADA,0,-0.0300438064869655
2020-12-08,ADA,0,-0.0881328834673016
2020-12-09,ADA,0,0.0490938540032182
2020-12-10,ADA,0,-0.0434401286959896
2020-12-11,ADA,0,-0.0192108362656778
2020-12-12,ADA,0,0.035982717879506
2020-12-13,ADA,0,0.0637585912917182
2020-12-14,ADA,0,0.0307322521292042
2020-12-15,ADA,0,-0.0294327067871185
2020-12-16,ADA,0,0.0893894993945972
2020-12-17,ADA,0,-0.0295291114709182
2020-12-18,ADA,0,0.0109490144896704
2020-12-19,ADA,0,-0.004243716584009
2020-12-20,ADA,0,-0.0140718137224241
2020-12-21,ADA,0,-0.0590085531281099
2020-12-22,ADA,0,0.0251707383465514
2020-12-23,ADA,0,-0.137819916009083
2020-12-24,ADA,0,0.113955513576587
2020-12-25,ADA,0,0.0276812009591967
2020-12-26,ADA,0,0.0038022859497386
2020-12-27,ADA,0,-0.0249772830861972
2020-12-28,ADA,0,0.133936628274596
2020-12-29,ADA,0,0.0779899018162771
2020-12-30,ADA,0,-0.0357848596098262
2020-12-31,ADA,0,-0.01203515620815
2021-01-01,ADA,0,-0.034717932496205
2021-01-02,ADA,0,0.0096399952650601
2021-01-03,ADA,0,0.151567533411879
2021-01-04,ADA,0,0.0908030801327022
2021-01-05,ADA,0,0.139107050890382
2021-01-06,ADA,0,0.25298291355535
2021-01-07,ADA,0,-0.111296042770607
2021-01-08,ADA,0,0.0172418064345061
2021-01-09,ADA,0,0.0859424298007248
2021-01-10,ADA,0,-0.0935319729131241
2021-01-11,ADA,0,-0.0896949709956432
2021-01-12,ADA,0,0.0453335413015212
2021-01-13,ADA,0,0.0798296016524849
2021-01-14,ADA,0,-0.0057710964919219
2021-01-15,ADA,0,-0.0270506961515611
2021-01-16,ADA,0,0.148328867146714
2021-01-17,ADA,0,0.0830397675501251
